udi,product_id,type,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure,twf,hdf,pwf,osf,rnf,temp_diff_k,power_kw,wear_rate
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,10.399999999999977,6.758094240837696,0.06422703505285508
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,10.399999999999977,4.800942408376963,0.049499443798943575
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,10.399999999999977,7.176722513089005,0.064129668735638
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,10.400000000000034,5.6662303664921465,0.05585585582230879
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,10.300000000000011,5.664638743455498,0.06093649771588422
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,10.399999999999977,7.3892356020942405,0.06749311290117553
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,10.300000000000011,6.075675392670157,0.06388361792290725
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,10.300000000000011,5.906680628272252,0.07227241134657927
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,10.300000000000011,7.320973821989529,0.07686729508566548
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,10.300000000000011,7.4214659685863875,0.08222222216131686
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,10.300000000000011,6.474848167539267,0.0829662260771173
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,10.300000000000011,7.276900523560209,0.08406432742392958
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,10.300000000000011,7.0333821989528795,0.08552631572695445
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,10.399999999999977,6.967748691099477,0.087463556787563
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,10.300000000000011,7.321465968586388,0.08491847820318038
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,10.300000000000011,7.655486910994766,0.08596373399196525
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,10.300000000000011,4.978994764397906,0.07053716762314857
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,10.300000000000011,6.874701570680628,0.09379407609746539
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,10.399999999999977,8.042670157068063,0.09473684203878116
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,10.300000000000011,6.520335078534032,0.09915014157283984
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,10.200000000000045,1.3780732984293191,0.04998252357567895
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,10.200000000000045,7.950439790575916,0.10484454077740814
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,10.199999999999989,6.865821989528795,0.09819639271997568
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,10.300000000000011,5.751989528795812,0.09712460057691719
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,10.300000000000011,5.329748691099477,0.09107037250675909
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,10.300000000000011,6.443811518324607,0.10317460310636599
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,10.300000000000011,6.557570680628272,0.10697359505282762
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,10.300000000000011,6.384701570680628,0.10575016516473881
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,10.199999999999989,5.130837696335078,0.09753160740666368
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,10.300000000000011,7.849549738219895,0.11973875172733035
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,10.300000000000011,7.6724397905759165,0.11988513989957994
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,10.199999999999989,6.368,0.10615577882779159
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,10.199999999999989,4.385769633507853,0.09404045921594288
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,10.100000000000023,4.914219895287958,0.09602649001323041
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,10.100000000000023,6.155790575916231,0.11621799073130794
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,10.100000000000023,6.583183246073299,0.1284074604530793
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,10.0,5.04579057591623,0.10780226318772944
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,10.099999999999966,6.7696963350785335,0.12551159609446685
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,10.099999999999966,5.180607329842932,0.12377210208004445
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,10.100000000000023,9.70020942408377,0.13546099281172977
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,10.100000000000023,4.553130890052357,0.10031185025971318
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,10.200000000000045,6.917905759162304,0.13498622580235106
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,10.200000000000045,6.364774869109947,0.1446311174984433
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,10.100000000000023,5.83455497382199,0.12562814062460542
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,10.100000000000023,5.414900523560209,0.12617114295679502
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,10.099999999999966,6.7433821989528795,0.14793328488184676
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,10.099999999999966,7.327947643979057,0.14099931544079444
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,10.099999999999966,6.292303664921465,0.14295532636223002
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,10.099999999999966,7.538952879581152,0.0
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,10.099999999999966,5.563958115183246,0.0014265335225203042
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,10.0,7.550314136125654,0.002768166088049712
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,10.0,7.212041884816754,0.006206896547443519
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,10.0,6.20758115183246,0.0075705436974738164
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,10.0,6.168261780104713,0.008849557516099688
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,10.0,7.087664921465969,0.010548523199332964
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,10.0,5.062534031413613,0.009423503320718679
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,10.0,6.601089005235602,0.013927576591972439
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,10.0,5.141277486910996,0.016191709834072726
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,10.0,6.7161047120418855,0.01902748413035413
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,10.0,6.150418848167539,0.02017484867506735
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,10.0,4.735853403141362,0.018824871637863734
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,10.0,4.771413612565445,0.019125683049658095
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,10.0,4.900701570680629,0.02142443542476871
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,9.899999999999977,6.528795811518324,0.02758620687752675
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,9.899999999999977,5.417989528795811,0.025893958060484612
96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,10.0,7.3845235602094235,0.03256846777752149
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,10.0,5.8217277486910985,0.029841269822323
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,10.0,5.479057591623037,0.02857142855510204
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,9.900000000000034,5.235424083769634,0.03466317852540014
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,10.0,7.08075392670157,0.036112934973005294
101,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,10.099999999999966,4.848167539267016,0.0307775377803577
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,10.0,4.315570680628272,0.029633350060455373
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,10.0,6.610785340314136,0.03922829579470849
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,10.0,6.111047120418848,0.043719639109146675
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,9.899999999999977,6.5895287958115185,0.04551724134791914
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,9.899999999999977,5.181162303664922,0.042740414806574215
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,9.899999999999977,7.3384816753926705,0.048442906540869954
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,10.0,7.336083769633507,0.04809619235264115
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,9.900000000000034,5.550439790575917,0.046267735936910706
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,9.800000000000011,5.61310994764398,0.05089058520935713
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,9.800000000000011,4.4104712041884815,0.04380341878001954
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,9.900000000000034,6.827905759162304,0.05603735820144272
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,9.899999999999977,6.1959162303664925,0.05941255002709442
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,9.800000000000011,6.5197277486911,0.06191117088700459
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,9.800000000000011,5.171937172774869,0.05654761901395974
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,9.800000000000011,6.847821989528796,0.06778476585060463
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,9.800000000000011,5.584544502617801,0.06329923269610023
118,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,9.800000000000011,5.525340314136126,0.06316447775912165
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,9.800000000000011,5.02269109947644,0.06033977735188062
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,9.800000000000011,6.252031413612565,0.07225630533588527
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,9.800000000000011,6.707340314136126,0.07536636421816723
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,9.800000000000011,6.721424083769634,0.07060333756700683
123,L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,9.800000000000011,6.9546596858638745,0.0854961831408426
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,9.800000000000011,7.025801047120418,0.07373868041802155
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,9.800000000000011,5.316628272251308,0.06716850025062622
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,9.700000000000045,5.259895287958116,0.0756410255925378
127,L47306,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,9.600000000000023,8.419319371727749,0.09029345365666407
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,9.700000000000045,6.880052356020943,0.08634111812714712
129,L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,9.600000000000023,6.414471204188482,0.07813484557143362
130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,9.600000000000023,5.599340314136126,0.08082103907580433
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,9.599999999999966,6.339298429319372,0.0868974880604905
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,9.599999999999966,5.03820942408377,0.07484168101621089
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,9.699999999999989,6.518450261780105,0.09160305337154541
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,9.699999999999989,7.427015706806283,0.0944055943395765
135,L47314,L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,9.599999999999966,7.597591623036649,0.10080350613527866
136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,9.699999999999989,5.106125654450262,0.08182349498432291
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,9.800000000000011,6.795183246073299,0.1007042252811942
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,9.900000000000034,7.510376963350785,0.11410948333530493
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,9.800000000000011,7.495350785340313,0.10351966866561789
140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,9.800000000000011,7.408837696335078,0.1222397475376658
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,9.800000000000011,5.711738219895288,0.10390469880615175
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,9.800000000000011,5.690973821989529,0.10297927454470253
143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,9.799999999999955,5.250219895287958,0.09055118105143353
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,9.799999999999955,7.4401570680628275,0.11656005677572134
145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,9.799999999999955,6.175748691099477,0.12149532701545986
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,9.899999999999977,5.3232251308900524,0.11368142755209422
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,9.899999999999977,6.093528795811519,0.10794044658316349
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,10.0,6.361413612565445,0.11815181510353015
149,M15008,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,10.0,6.93109947643979,0.13125453217457975
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,9.900000000000034,6.15420942408377,0.12491513908695509
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,9.900000000000034,6.358052356020942,0.13080168767172876
152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,9.800000000000011,5.760083769633508,0.1285030757836616
153,M15012,M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,9.800000000000011,6.800418848167539,0.12058080800468382
154,L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,9.800000000000011,5.230366492146596,0.10486486480818115
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,9.800000000000011,5.792000000000001,0.1282722512249527
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,9.800000000000011,4.119643979057591,0.09964771006560255
157,M15016,M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,9.700000000000045,7.201047120418848,0.1357859530864308
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,9.800000000000011,6.732251308900524,0.1393775371181478
159,M15018,M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,9.800000000000011,6.278534031413613,0.14076050691076683
160,L47339,L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,9.800000000000011,7.239476439790576,0.14547926570667621
161,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,9.800000000000011,8.148418848167541,0.16848673933815386
162,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,9.800000000000011,7.732732984293193,0.1543909347348506
163,L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,9.800000000000011,5.895602094240838,0.0
164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,9.800000000000011,6.732816753926701,0.0013623978192354236
165,M15024,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,9.800000000000011,6.574240837696335,0.0034722222198109564
166,L47345,L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,9.899999999999977,4.7181151832460735,0.004616272357405498
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,9.800000000000011,5.502743455497383,0.00620347394156112
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,9.900000000000034,6.549549738219895,0.010288065836565111
169,L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,9.900000000000034,9.348261780104712,0.013956734114475412
170,L47349,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,9.900000000000034,8.15641884816754,0.016691957498716267
171,M15030,M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,9.800000000000011,5.900523560209424,0.014906832288877743
172,L47351,L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,9.900000000000034,7.776921465968585,0.018467852244550033
173,M15032,M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,9.899999999999977,4.190492146596859,0.015072765064930995
174,M15033,M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,9.800000000000011,5.614314136125655,0.02011313637956434
175,L47354,L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,9.900000000000034,7.972753926701571,0.026799387422052533
176,L47355,L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,9.900000000000034,6.294973821989529,0.026772793034173084
177,L47356,L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,9.900000000000034,5.879015706806284,0.02410383187632643
178,L47357,L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,10.0,4.454785340314136,0.020623742444354252
179,L47358,L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,10.0,7.548397905759162,0.029944289672740744
180,L47359,L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,10.100000000000023,6.799916230366492,0.034509202427523616
181,L47360,L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,10.100000000000023,7.707068062827225,0.031864406758058024
182,H29595,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,10.100000000000023,4.622073298429319,0.026864035072991208
183,M15042,M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,10.099999999999966,6.759183246073299,0.0402384500445317
184,L47363,L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,10.099999999999966,6.328743455497383,0.038383838357990675
185,L47364,L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,10.0,5.34138219895288,0.03539292139448535
186,L47365,L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,10.0,5.784000000000001,0.04218533883666297
187,L47366,L,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,10.199999999999989,7.628900523560209,0.04842428897123421
188,L47367,L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,10.199999999999989,6.223549738219895,0.04713560547705902
189,L47368,L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,10.199999999999989,5.650429319371728,0.04171855539120887
190,M15049,M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,10.099999999999966,6.993989528795811,0.04483430796307062
191,L47370,L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,10.199999999999989,7.7175183246073304,0.048747461036731575
192,L47371,L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,10.199999999999989,6.035979057591623,0.04441776708018141
193,H29606,H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,10.199999999999989,7.5828691099476435,0.05436337621290173
194,H29607,H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,10.199999999999989,6.079455497382199,0.04827175205704901
195,M15054,M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,10.300000000000011,3.00048167539267,0.03211351753841915
196,L47375,L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,10.199999999999989,6.527089005235601,0.061252580825015425
197,H29610,H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,10.300000000000011,7.422408376963351,0.06354748598914281
198,M15057,M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,10.200000000000045,6.53971727748691,0.06286836931049877
199,L47378,L,298.4,308.7,1588,35.0,99,0,0,0,0,0,0,10.300000000000011,5.819895287958115,0.062342569230262865
200,L47379,L,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,10.200000000000045,7.067465968586387,0.07048150727810083
201,L47380,L,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,10.200000000000045,5.896858638743455,0.0640149160571691
202,L47381,L,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,10.199999999999989,6.79476439790576,0.06666666662433862
203,M15062,M,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,10.100000000000023,6.1157277486911,0.06540342294290744
204,L47383,L,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,10.100000000000023,5.913193717277487,0.07382550330615738
205,L47384,L,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,10.100000000000023,5.979560209424084,0.06433084430538148
206,M15065,M,298.5,308.6,1344,53.0,114,0,0,0,0,0,0,10.100000000000023,7.458848167539267,0.08482142850831738
207,L47386,L,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,10.199999999999989,5.9474031413612565,0.07271597260862897
208,M15067,M,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,10.300000000000011,9.031905759162303,0.08374384230559898
209,L47388,L,298.4,308.6,1591,36.7,122,0,0,0,0,0,0,10.200000000000045,6.114104712041885,0.07668133244708904
210,L47389,L,298.4,308.6,1477,44.0,124,0,0,0,0,0,0,10.200000000000045,6.805026178010471,0.08395396067437104
211,L47390,L,298.4,308.7,1523,36.1,126,0,0,0,0,0,0,10.300000000000011,5.757099476439791,0.08273145102906668
212,L47391,L,298.5,308.7,1575,33.9,128,0,0,0,0,0,0,10.199999999999989,5.590837696335078,0.08126984121824136
213,H29626,H,298.4,308.7,1344,52.9,130,0,0,0,0,0,0,10.300000000000011,7.4447748691099465,0.09672619040422158
214,L47393,L,298.4,308.7,1386,44.9,135,0,0,0,0,0,0,10.300000000000011,6.516376963350785,0.09740259733232134
215,M15074,M,298.3,308.6,1589,37.1,137,0,0,0,0,0,0,10.300000000000011,6.172973821989529,0.08621774695643943
216,L47395,L,298.3,308.6,1548,40.3,140,0,0,0,0,0,0,10.300000000000011,6.5323979057591615,0.0904392764273648
217,L47396,L,298.3,308.6,1499,38.3,142,0,0,0,0,0,0,10.300000000000011,6.0116963350785335,0.0947298198167246
218,L47397,L,298.3,308.5,1664,31.6,144,0,0,0,0,0,0,10.199999999999989,5.506010471204188,0.08653846148645525
219,L47398,L,298.3,308.6,1447,38.1,146,0,0,0,0,0,0,10.300000000000011,5.7728481675392675,0.10089841043476266
220,M15079,M,298.3,308.5,1434,46.2,148,0,0,0,0,0,0,10.199999999999989,6.937256544502618,0.10320781024880905
221,L47400,L,298.3,308.5,1416,52.7,151,0,0,0,0,0,0,10.199999999999989,7.813947643979057,0.10663841800378641
222,H29635,H,298.4,308.5,1827,24.3,153,0,0,0,0,0,0,10.100000000000023,4.6488062827225125,0.08374384231869521
223,L47402,L,298.4,308.6,1304,45.0,158,0,0,0,0,0,0,10.200000000000045,6.144502617801047,0.1211656440788607
224,L47403,L,298.4,308.6,1569,34.4,160,0,0,0,0,0,0,10.200000000000045,5.651685863874345,0.10197578068707726
225,L47404,L,298.3,308.6,1584,29.3,162,0,0,0,0,0,0,10.300000000000011,4.859811518324608,0.10227272720816115
