udi,product_id,type,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure,twf,hdf,pwf,osf,rnf,temp_diff_k,power_kw,wear_rate,air_temp_k_rolling_mean_10,air_temp_k_rolling_std_10,process_temp_k_rolling_mean_10,process_temp_k_rolling_std_10,rotational_speed_rpm_rolling_mean_10,rotational_speed_rpm_rolling_std_10,torque_nm_rolling_mean_10,torque_nm_rolling_std_10,tool_wear_min_rolling_mean_10,tool_wear_min_rolling_std_10,machine_failure_lag_1,machine_failure_lag_2,machine_failure_lag_3,machine_failure_lag_5,machine_failure_lag_10,twf_lag_1,hdf_lag_1,pwf_lag_1,osf_lag_1,rnf_lag_1,cum_machine_failures,temp_ratio,torque_per_rpm,tool_wear_bin,temp_x_speed,torque_x_wear,type_H,type_L,type_M
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,10.5,4.4596649214659685,0.013468013460455659,298.4,,308.9,,1782.0,,23.9,,24.0,,0,0,0,0,0,0,0,0,0,0,0,1.0351876675603218,0.01341189673770376,0-50,18711.0,573.5999999999999,True,False,False
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,10.5,6.600931937172774,0.02037947995756888,298.6,,309.1,,1423.0,,44.3,,29.0,,0,0,0,0,0,0,0,0,0,0,0,1.0351640991292699,0.031131412486906943,0-50,14941.5,1284.6999999999998,True,False,False
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,10.5,7.164701570680629,0.02539208362554736,298.6,,309.1,,1339.0,,51.1,,34.0,,0,0,0,0,0,0,0,0,0,0,0,1.0351640991292699,0.038162808037219706,0-50,14059.5,1737.4,False,False,True
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,10.599999999999966,5.472251308900524,0.021239954063582114,298.6,,309.2,,1742.0,,30.0,,37.0,,0,0,0,0,0,0,0,0,0,0,0,1.0354989953114533,0.01722158437587739,0-50,18465.19999999994,1110.0,False,False,True
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,10.599999999999966,4.176544502617801,0.019656019646360677,298.6,,309.2,,2035.0,,19.6,,40.0,,0,0,0,0,0,0,0,0,0,0,0,1.0354989953114533,0.009631449626716733,0-50,21570.99999999993,784.0,False,True,False
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,10.599999999999966,7.814952879581152,0.027237354067939458,298.6,,309.2,,1542.0,,48.4,,42.0,,0,0,0,0,0,0,0,0,0,0,0,1.0354989953114533,0.03138780802114928,0-50,16345.199999999948,2032.8,False,True,False
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,10.599999999999966,6.397130890052356,0.03356216625967798,298.6,,309.2,,1311.0,,46.6,,44.0,,0,0,0,0,0,0,0,0,0,0,0,1.0354989953114533,0.035545385175022585,0-50,13896.599999999955,2050.4,False,False,True
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,10.5,6.732565445026178,0.03333333330969267,298.7,,309.2,,1410.0,,45.6,,47.0,,0,0,0,0,0,0,0,0,0,0,0,1.0351523267492468,0.03234042550897842,0-50,14805.0,2143.2000000000003,False,False,True
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,10.399999999999977,7.4530890052356025,0.03828483917436076,298.8,,309.2,,1306.0,,54.5,,50.0,,0,0,0,0,0,0,0,0,0,0,0,1.034805890227577,0.041730474700053234,0-50,13582.39999999997,2725.0,True,False,False
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,10.400000000000034,5.55392670157068,0.03370098037150675,298.9,,309.3,,1632.0,,32.5,,55.0,,0,0,0,0,0,0,0,0,0,0,0,1.0347942455670793,0.019914215674072172,51-100,16972.800000000054,1787.5,False,False,True
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,10.400000000000034,6.147905759162304,0.04218181815114049,298.9,,309.3,,1375.0,,42.7,,58.0,,0,0,0,0,0,0,0,0,0,0,0,1.0347942455670793,0.03105454543196033,51-100,14300.000000000047,2476.6000000000004,True,False,False
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,10.5,6.802094240837696,0.04344827583210464,298.8,,309.3,,1450.0,,44.8,,63.0,,0,0,0,0,0,0,0,0,0,0,0,1.035140562248996,0.03089655170282996,51-100,15225.0,2822.3999999999996,False,True,False
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,10.400000000000034,5.082376963350785,0.04111321945533635,298.9,,309.3,,1581.0,,30.7,,65.0,,0,0,0,0,0,0,0,0,0,0,0,1.0347942455670793,0.01941808980428963,51-100,16442.400000000052,1995.5,False,False,True
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,10.399999999999977,4.730952879581151,0.03868031852179731,299.0,,309.4,,1758.0,,25.7,,68.0,,0,0,0,0,0,0,0,0,0,0,0,1.0347826086956522,0.01461888508838516,51-100,18283.19999999996,1747.6,False,True,False
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,10.399999999999977,6.09689005235602,0.044843049298627126,299.0,,309.4,,1561.0,,37.3,,70.0,,0,0,0,0,0,0,0,0,0,0,0,1.0347826086956522,0.023894939126268454,51-100,16234.399999999965,2611.0,False,False,True
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,10.5,4.540450261780105,0.03922622243996441,299.0,,309.5,,1861.0,,23.3,,73.0,,0,0,0,0,0,0,0,0,0,0,0,1.0351170568561874,0.012520150450016039,51-100,19540.5,1700.9,False,True,False
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,10.399999999999977,6.174659685863874,0.049603174570368266,299.1,,309.5,,1512.0,,39.0,,75.0,,0,0,0,0,0,0,0,0,0,0,0,1.0347709796054831,0.025793650776591497,51-100,15724.799999999967,2925.0,False,True,False
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,10.299999999999955,4.664984293193718,0.042517945862773084,299.1,,309.4,,1811.0,,24.6,,77.0,,0,0,0,0,0,0,0,0,0,0,0,1.0344366432631225,0.013583655431483349,51-100,18653.29999999992,1894.2,True,False,False
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,10.299999999999955,6.660083769633508,0.05698401663864905,299.1,,309.4,,1439.0,,44.2,,82.0,,0,0,0,0,0,0,0,0,0,0,0,1.0344366432631225,0.030715774822296194,51-100,14821.699999999935,3624.4,False,True,False
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,10.399999999999977,5.336052356020943,0.04961606612544828,299.0,,309.4,,1693.0,,30.1,,84.0,,0,0,0,0,0,0,0,0,0,0,0,1.0347826086956522,0.017779090361618965,51-100,17607.19999999996,2528.4,False,True,False
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,10.399999999999977,6.758094240837696,0.06422703505285508,299.1,,309.5,,1339.0,,48.2,,86.0,,0,0,0,0,0,0,0,0,0,0,0,1.0347709796054831,0.035997012669158314,51-100,13925.59999999997,4145.2,False,False,True
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,10.399999999999977,4.800942408376963,0.049499443798943575,299.0,,309.4,,1798.0,,25.5,,89.0,,0,0,0,0,0,0,0,0,0,0,0,1.0347826086956522,0.01418242490868608,51-100,18699.19999999996,2269.5,False,True,False
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,10.399999999999977,7.176722513089005,0.064129668735638,299.0,,309.4,,1419.0,,48.3,,91.0,,0,0,0,0,0,0,0,0,0,0,0,1.0347826086956522,0.03403805494430017,51-100,14757.599999999968,4395.3,False,True,False
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,10.400000000000034,5.6662303664921465,0.05585585582230879,298.9,,309.3,,1665.0,,32.5,,93.0,,0,0,0,0,0,0,0,0,0,0,0,1.0347942455670793,0.019519519507796082,51-100,17316.00000000006,3022.5,False,True,False
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,10.300000000000011,5.664638743455498,0.06093649771588422,298.8,,309.1,,1559.0,,34.7,,95.0,,0,0,0,0,0,0,0,0,0,0,0,1.034471218206158,0.02225785758674929,51-100,16057.700000000017,3296.5000000000005,False,False,True
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,10.399999999999977,7.3892356020942405,0.06749311290117553,298.8,,309.2,,1452.0,,48.6,,98.0,,0,0,0,0,0,0,0,0,0,0,0,1.034805890227577,0.033471074357113585,51-100,15100.799999999967,4762.8,False,False,True
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,10.300000000000011,6.075675392670157,0.06388361792290725,298.9,,309.2,,1581.0,,36.7,,101.0,,0,0,0,0,0,0,0,0,0,0,0,1.0344596855135497,0.02321315621555145,101-150,16284.300000000017,3706.7000000000003,False,False,True
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,10.300000000000011,5.906680628272252,0.07227241134657927,298.8,,309.1,,1439.0,,39.2,,104.0,,0,0,0,0,0,0,0,0,0,0,0,1.034471218206158,0.02724113966140296,101-150,14821.700000000017,4076.8,False,True,False
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,10.300000000000011,7.320973821989529,0.07686729508566548,298.9,,309.2,,1379.0,,50.7,,106.0,,0,0,0,0,0,0,0,0,0,0,0,1.0344596855135497,0.03676577227210604,101-150,14203.700000000015,5374.200000000001,True,False,False
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,10.300000000000011,7.4214659685863875,0.08222222216131686,298.8,,309.1,,1350.0,,52.5,,111.0,,0,0,0,0,0,0,0,0,0,0,0,1.034471218206158,0.0388888888600823,101-150,13905.000000000015,5827.5,False,True,False
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,10.300000000000011,6.474848167539267,0.0829662260771173,298.8,,309.1,,1362.0,,45.4,,113.0,,0,0,0,0,0,0,0,0,0,0,0,1.034471218206158,0.033333333308859514,101-150,14028.600000000015,5130.2,False,True,False
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,10.300000000000011,7.276900523560209,0.08406432742392958,298.8,,309.1,,1368.0,,50.8,,115.0,,0,0,0,0,0,0,0,0,0,0,0,1.034471218206158,0.0371345028968315,101-150,14090.400000000016,5842.0,False,True,False
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,10.300000000000011,7.0333821989528795,0.08552631572695445,298.8,,309.1,,1368.0,,49.1,,117.0,,0,0,0,0,0,0,0,0,0,0,0,1.034471218206158,0.03589181283926037,101-150,14090.400000000016,5744.7,False,False,True
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,10.399999999999977,6.967748691099477,0.087463556787563,298.8,,309.2,,1372.0,,48.5,,120.0,,0,0,0,0,0,0,0,0,0,0,0,1.034805890227577,0.035349854201640045,101-150,14268.799999999968,5820.0,True,False,False
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,10.300000000000011,7.321465968586388,0.08491847820318038,298.8,,309.1,,1472.0,,47.5,,125.0,,0,0,0,0,0,0,0,0,0,0,0,1.034471218206158,0.032269021717208544,101-150,15161.600000000017,5937.5,False,False,True
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,10.300000000000011,7.655486910994766,0.08596373399196525,298.8,,309.1,,1489.0,,49.1,,128.0,,0,0,0,0,0,0,0,0,0,0,0,1.034471218206158,0.03297515108598042,101-150,15336.700000000017,6284.8,False,True,False
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,10.300000000000011,4.978994764397906,0.07053716762314857,298.7,,309.0,,1843.0,,25.8,,130.0,,0,0,0,0,0,0,0,0,0,0,0,1.0344827586206897,0.013998914805209487,101-150,18982.90000000002,3354.0,False,False,True
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,10.300000000000011,6.874701570680628,0.09379407609746539,298.8,,309.1,,1418.0,,46.3,,133.0,,0,0,0,0,0,0,0,0,0,0,0,1.034471218206158,0.03265162197979434,101-150,14605.400000000016,6157.9,False,True,False
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,10.399999999999977,8.042670157068063,0.09473684203878116,298.8,,309.2,,1425.0,,53.9,,135.0,,0,0,0,0,0,0,0,0,0,0,0,1.034805890227577,0.037824561376965216,101-150,14819.999999999967,7276.5,True,False,False
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,10.300000000000011,6.520335078534032,0.09915014157283984,298.9,,309.2,,1412.0,,44.1,,140.0,,0,0,0,0,0,0,0,0,0,0,0,1.0344596855135497,0.03123229459544455,101-150,14543.600000000017,6174.0,False,False,True
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,10.200000000000045,1.3780732984293191,0.04998252357567895,298.9,,309.1,,2861.0,,4.6,,143.0,,0,0,0,0,0,0,0,0,0,0,0,1.0341251254600203,0.001607829429707155,101-150,29182.20000000013,657.8,False,True,False
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,10.200000000000045,7.950439790575916,0.10484454077740814,298.9,,309.1,,1383.0,,54.9,,145.0,,0,0,0,0,0,0,0,0,0,0,1,1.0341251254600203,0.039696312335722114,101-150,14106.600000000062,7960.5,False,True,False
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,10.199999999999989,6.865821989528795,0.09819639271997568,298.8,,309.0,,1497.0,,43.8,,147.0,,0,0,0,0,0,0,0,0,0,0,0,1.034136546184739,0.029258517014523363,101-150,15269.399999999983,6438.599999999999,True,False,False
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,10.300000000000011,5.751989528795812,0.09712460057691719,298.7,,309.0,,1565.0,,35.1,,152.0,,0,0,0,0,0,0,0,0,0,0,0,1.0344827586206897,0.022428115001643375,151-200,16119.500000000018,5335.2,False,True,False
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,10.300000000000011,5.329748691099477,0.09107037250675909,298.7,,309.0,,1691.0,,30.1,,154.0,,0,0,0,0,0,0,0,0,0,0,0,1.0344827586206897,0.017800118262684732,151-200,17417.300000000017,4635.400000000001,False,True,False
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,10.300000000000011,6.443811518324607,0.10317460310636599,298.8,,309.1,,1512.0,,40.7,,156.0,,0,0,0,0,0,0,0,0,0,0,0,1.034471218206158,0.026917989400186516,151-200,15573.600000000017,6349.200000000001,False,True,False
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,10.300000000000011,6.557570680628272,0.10697359505282762,298.8,,309.1,,1477.0,,42.4,,158.0,,0,0,0,0,0,0,0,0,0,0,0,1.034471218206158,0.02870683816607526,151-200,15213.100000000017,6699.2,False,True,False
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,10.300000000000011,6.384701570680628,0.10575016516473881,298.8,,309.1,,1513.0,,40.3,,160.0,,0,0,0,0,0,0,0,0,0,0,0,1.034471218206158,0.026635822850868587,151-200,15583.900000000018,6448.0,False,True,False
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,10.199999999999989,5.130837696335078,0.09753160740666368,298.8,,309.0,,1661.0,,29.5,,162.0,,0,0,0,0,0,0,0,0,0,0,0,1.034136546184739,0.017760385299361598,151-200,16942.199999999983,4779.0,False,False,True
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,10.300000000000011,7.849549738219895,0.11973875172733035,298.8,,309.1,,1378.0,,54.4,,165.0,,0,0,0,0,0,0,0,0,0,0,0,1.034471218206158,0.03947750359979862,151-200,14193.400000000016,8976.0,False,True,False
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,10.300000000000011,7.6724397905759165,0.11988513989957994,298.8,,309.1,,1393.0,,52.6,,167.0,,0,0,0,0,0,0,0,0,0,0,0,1.034471218206158,0.03776022969292159,151-200,14347.900000000016,8784.2,False,True,False
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,10.199999999999989,6.368,0.10615577882779159,298.8,,309.0,,1592.0,,38.2,,169.0,,0,0,0,0,0,0,0,0,0,0,0,1.034136546184739,0.02399497485929964,151-200,16238.399999999981,6455.8,False,False,True
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,10.199999999999989,4.385769633507853,0.09404045921594288,298.8,,309.0,,1829.0,,22.9,,172.0,,0,0,0,0,0,0,0,0,0,0,0,1.034136546184739,0.012520503000262162,151-200,18655.799999999977,3938.7999999999997,False,True,False
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,10.100000000000023,4.914219895287958,0.09602649001323041,298.9,,309.0,,1812.0,,25.9,,174.0,,0,0,0,0,0,0,0,0,0,0,0,1.0337905654064905,0.014293598226107283,151-200,18301.20000000004,4506.599999999999,False,False,True
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,10.100000000000023,6.155790575916231,0.11621799073130794,299.0,,309.1,,1523.0,,38.6,,177.0,,0,0,0,0,0,0,0,0,0,0,0,1.0337792642140469,0.025344714362872806,151-200,15382.300000000034,6832.2,False,True,False
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,10.100000000000023,6.583183246073299,0.1284074604530793,299.0,,309.1,,1394.0,,45.1,,179.0,,0,0,0,0,0,0,0,0,0,0,0,1.0337792642140469,0.03235294115326188,151-200,14079.400000000032,8072.900000000001,False,True,False
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,10.0,5.04579057591623,0.10780226318772944,298.9,,308.9,,1679.0,,28.7,,181.0,,0,0,0,0,0,0,0,0,0,0,0,1.033456005352961,0.01709350803031953,151-200,16790.0,5194.7,False,False,True
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,10.099999999999966,6.7696963350785335,0.12551159609446685,298.8,,308.9,,1466.0,,44.1,,184.0,,0,0,0,0,0,0,0,0,0,0,0,1.03380187416332,0.030081855368293414,151-200,14806.59999999995,8114.400000000001,True,False,False
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,10.099999999999966,5.180607329842932,0.12377210208004445,298.8,,308.9,,1527.0,,32.4,,189.0,,0,0,0,0,0,0,0,0,0,0,0,1.03380187416332,0.021218074642293333,151-200,15422.699999999948,6123.599999999999,False,True,False
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,10.100000000000023,9.70020942408377,0.13546099281172977,298.9,,309.0,,1410.0,,65.7,,191.0,,0,0,0,0,0,0,0,0,0,0,0,1.0337905654064905,0.04659574464780444,151-200,14241.000000000033,12548.7,False,True,False
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,10.100000000000023,4.553130890052357,0.10031185025971318,298.9,,309.0,,1924.0,,22.6,,193.0,,0,0,0,0,0,0,0,0,0,0,1,1.0337905654064905,0.011746361740256568,151-200,19432.400000000045,4361.8,False,False,True
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,10.200000000000045,6.917905759162304,0.13498622580235106,298.9,,309.1,,1452.0,,45.5,,196.0,,0,0,0,0,0,0,0,0,0,0,0,1.0341251254600203,0.03133608813268864,151-200,14810.400000000067,8918.0,False,True,False
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,10.200000000000045,6.364774869109947,0.1446311174984433,298.9,,309.1,,1369.0,,44.4,,198.0,,0,0,0,0,0,0,0,0,0,0,0,1.0341251254600203,0.03243243240874183,151-200,13963.800000000063,8791.199999999999,False,True,False
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,10.100000000000023,5.83455497382199,0.12562814062460542,299.0,,309.1,,1592.0,,35.0,,200.0,,0,0,0,0,0,0,0,0,0,0,0,1.0337792642140469,0.02198492460930595,151-200,16079.200000000037,7000.0,False,True,False
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,10.100000000000023,5.414900523560209,0.12617114295679502,298.9,,309.0,,1601.0,,32.3,,202.0,,0,0,0,0,0,0,0,0,0,0,0,1.0337905654064905,0.020174890680715242,201-250,16170.100000000037,6524.599999999999,False,True,False
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,10.099999999999966,6.7433821989528795,0.14793328488184676,298.8,,308.9,,1379.0,,46.7,,204.0,,0,0,0,0,0,0,0,0,0,0,0,1.03380187416332,0.033865119627363945,201-250,13927.899999999952,9526.800000000001,False,True,False
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,10.099999999999966,7.327947643979057,0.14099931544079444,298.8,,308.9,,1461.0,,47.9,,206.0,,0,0,0,0,0,0,0,0,0,0,0,1.03380187416332,0.03278576315346628,201-250,14756.09999999995,9867.4,False,True,False
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,10.099999999999966,6.292303664921465,0.14295532636223002,298.8,,308.9,,1455.0,,41.3,,208.0,,0,0,0,0,0,0,0,0,0,0,0,1.03380187416332,0.028384879705577397,201-250,14695.49999999995,8590.4,False,True,False
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,10.099999999999966,7.538952879581152,0.0,298.8,,308.9,,1398.0,,51.5,,0.0,,0,0,0,0,0,0,0,0,0,0,1,1.03380187416332,0.03683834046005841,0-50,14119.799999999952,0.0,False,True,False
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,10.099999999999966,5.563958115183246,0.0014265335225203042,298.8,,308.9,,1402.0,,37.9,,2.0,,0,0,0,0,0,0,0,0,0,0,0,1.03380187416332,0.02703281025175976,0-50,14160.199999999952,75.8,False,True,False
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,10.0,7.550314136125654,0.002768166088049712,298.8,,308.8,,1445.0,,49.9,,4.0,,0,0,0,0,0,0,0,0,0,0,0,1.033467202141901,0.034532871948420155,0-50,14450.0,199.6,True,False,False
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,10.0,7.212041884816754,0.006206896547443519,298.9,,308.9,,1450.0,,47.5,,9.0,,0,0,0,0,0,0,0,0,0,0,0,1.033456005352961,0.03275862066706302,0-50,14500.0,427.5,False,True,False
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,10.0,6.20758115183246,0.0075705436974738164,298.9,,308.9,,1453.0,,40.8,,11.0,,0,0,0,0,0,0,0,0,0,0,0,1.033456005352961,0.028079834805175608,0-50,14530.0,448.79999999999995,False,True,False
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,10.0,6.168261780104713,0.008849557516099688,299.0,,309.0,,1469.0,,40.1,,13.0,,0,0,0,0,0,0,0,0,0,0,0,1.0334448160535117,0.027297481261199807,0-50,14690.0,521.3000000000001,False,True,False
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,10.0,7.087664921465969,0.010548523199332964,298.9,,308.9,,1422.0,,47.6,,15.0,,0,0,0,0,0,0,0,0,0,0,0,1.033456005352961,0.033473980285883276,0-50,14220.0,714.0,False,True,False
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,10.0,5.062534031413613,0.009423503320718679,299.0,,309.0,,1804.0,,26.8,,17.0,,0,0,0,0,0,0,0,0,0,0,0,1.0334448160535117,0.014855875823250623,0-50,18040.0,455.6,False,False,True
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,10.0,6.601089005235602,0.013927576591972439,299.0,,309.0,,1436.0,,43.9,,20.0,,0,0,0,0,0,0,0,0,0,0,0,1.0334448160535117,0.0305710306193795,0-50,14360.0,878.0,True,False,False
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,10.0,5.141277486910996,0.016191709834072726,299.0,,309.0,,1544.0,,31.8,,25.0,,0,0,0,0,0,0,0,0,0,0,0,1.0334448160535117,0.020595854908940506,0-50,15440.0,795.0,False,True,False
