udi,split
357,train
358,train
359,test
360,train
361,train
362,train
363,train
364,train
365,train
366,test
367,train
368,train
369,train
370,train
371,train
372,train
373,validation
374,train
375,train
376,test
377,validation
378,test
379,validation
380,train
381,test
382,train
383,train
384,train
385,train
386,train
387,test
388,validation
389,test
390,train
391,validation
392,train
393,train
394,train
395,train
396,train
397,train
398,train
399,test
400,train
401,train
402,validation
403,train
404,validation
405,test
406,test
407,train
408,train
409,train
410,test
411,validation
412,validation
413,train
414,train
415,train
416,train
417,train
418,test
419,test
420,validation
421,test
422,train
423,train
424,validation
425,train
426,train
427,test
428,train
429,train
430,train
431,train
432,test
433,train
434,test
435,train
436,train
437,train
438,validation
439,train
440,train
441,validation
442,validation
443,train
444,validation
445,train
446,train
447,train
448,validation
449,train
450,train
451,validation
452,train
453,validation
454,train
455,train
456,train
457,validation
458,train
459,validation
460,test
461,validation
462,train
463,train
464,validation
465,train
466,train
467,train
468,train
469,train
470,train
471,test
472,train
473,train
474,train
475,test
476,train
477,train
478,train
479,validation
480,train
481,train
482,train
483,test
484,validation
485,train
486,validation
487,train
488,train
489,train
490,train
491,train
492,train
493,train
494,validation
495,validation
496,train
497,train
498,test
499,train
500,train
501,train
502,validation
503,train
504,train
505,test
506,train
507,train
508,train
509,train
510,train
511,train
512,train
513,train
514,train
515,train
516,train
517,validation
518,train
519,test
520,train
521,test
522,validation
523,train
524,train
525,train
526,train
527,train
528,validation
529,test
530,train
531,test
532,train
533,train
534,train
535,train
536,train
537,train
538,train
539,train
540,test
541,train
542,test
543,test
544,validation
545,train
546,test
547,train
548,train
549,train
550,train
551,validation
552,train
553,test
554,test
555,validation
556,test
557,train
558,train
559,train
560,train
561,train
562,test
563,train
564,train
565,train
566,train
567,train
568,train
569,test
570,train
571,train
572,train
573,test
574,train
575,validation
576,test
577,train
578,train
579,train
580,train
581,validation
582,train
583,train
584,train
585,train
586,test
587,train
588,train
589,test
590,validation
591,train
592,test
593,test
594,train
595,train
596,validation
597,train
598,test
599,validation
600,train
601,test
602,train
603,train
604,validation
605,train
606,train
607,train
608,train
609,train
610,train
611,train
612,train
613,validation
614,train
615,train
616,train
617,validation
618,train
619,test
620,train
621,train
622,train
623,validation
624,train
625,test
626,train
627,validation
628,train
629,train
630,train
631,train
632,train
633,test
634,validation
635,train
636,train
637,train
638,test
639,validation
640,train
641,train
642,train
643,train
644,train
645,validation
646,train
647,train
648,test
649,train
650,train
651,train
652,validation
653,test
654,test
655,validation
656,validation
657,test
658,train
659,validation
660,validation
661,train
662,train
663,train
664,test
665,train
666,train
667,validation
668,train
669,train
670,train
671,train
672,train
673,train
674,train
675,validation
676,train
677,train
678,test
679,train
680,test
681,train
682,test
683,train
684,validation
685,test
686,test
687,train
688,train
689,train
690,test
691,train
692,train
693,train
694,train
695,validation
696,train
697,train
698,validation
699,train
700,validation
701,validation
702,train
703,train
704,train
705,test
706,train
707,test
708,train
709,train
710,validation
711,train
712,train
713,train
714,train
715,train
716,validation
717,test
718,test
719,train
720,train
721,train
722,test
723,train
724,train
725,train
726,validation
727,validation
728,train
729,validation
730,train
731,train
732,validation
733,test
734,train
735,test
736,test
737,train
738,train
739,train
740,train
741,train
742,train
743,train
744,validation
745,test
746,validation
747,train
748,test
749,train
750,validation
751,validation
752,train
753,train
754,train
755,test
756,train
757,train
758,train
759,train
760,train
761,train
762,train
763,train
764,train
765,validation
766,train
767,train
768,train
769,test
770,train
771,validation
772,train
773,train
774,test
775,train
776,train
777,train
778,validation
779,train
780,test
781,train
782,train
783,train
784,train
785,validation
786,train
787,train
788,test
789,test
790,test
791,train
792,train
793,train
794,train
795,test
796,validation
797,train
798,test
799,train
800,train
801,train
802,train
803,validation
804,test
805,train
806,train
807,train
808,train
809,validation
810,train
811,test
812,train
813,test
814,validation
815,train
816,train
817,train
818,train
819,train
820,validation
821,train
822,train
823,train
824,test
825,train
826,test
827,train
828,train
829,train
830,train
831,train
832,train
833,validation
834,test
835,train
836,train
837,train
838,train
839,train
840,train
841,test
842,test
843,test
844,test
845,test
846,train
847,test
848,train
849,train
850,train
851,test
852,train
853,test
854,train
855,train
856,train
857,train
858,train
859,train
860,train
861,train
862,train
863,train
864,train
865,train
866,train
867,test
868,train
869,train
870,validation
871,test
872,test
873,train
874,test
875,test
876,train
877,train
878,validation
879,train
880,train
881,train
882,test
883,train
884,train
885,test
886,validation
887,train
888,validation
889,train
890,train
891,train
892,train
893,train
894,train
895,validation
896,validation
897,train
898,test
899,validation
900,test
901,train
902,validation
903,train
904,train
905,train
906,train
907,validation
908,train
909,validation
910,train
911,train
912,train
913,validation
914,test
915,test
916,train
917,test
918,train
919,train
920,train
921,train
922,test
923,train
924,validation
925,test
926,train
927,test
928,train
929,train
930,train
931,validation
932,train
933,train
934,train
935,validation
936,train
937,train
938,train
939,train
940,test
941,test
942,test
943,train
944,test
945,train
946,test
947,train
948,test
949,train
950,train
951,train
952,test
953,train
954,validation
955,train
956,train
957,test
958,train
959,train
960,test
961,validation
962,train
963,test
964,train
965,train
966,validation
967,test
968,train
969,train
970,train
971,train
972,train
973,validation
974,test
975,test
976,validation
977,test
978,test
979,test
980,test
981,train
982,train
983,test
984,validation
985,test
986,train
987,test
988,train
989,train
990,test
991,train
992,test
993,train
994,train
995,train
996,validation
997,train
998,test
999,train
1000,train
1001,train
1002,train
1003,validation
1004,test
1005,train
1006,train
1007,validation
1008,test
1009,train
1010,test
1011,validation
1012,test
1013,train
1014,train
1015,validation
1016,train
1017,train
1018,train
1019,train
1020,test
1021,train
1022,train
1023,validation
1024,validation
1025,test
1026,train
1027,validation
1028,train
1029,test
1030,train
1031,train
1032,test
1033,test
1034,validation
1035,train
1036,validation
1037,validation
1038,validation
1039,test
1040,test
1041,test
1042,train
1043,train
1044,validation
1045,validation
1046,test
1047,train
1048,train
1049,train
1050,train
1051,test
1052,train
1053,test
1054,train
1055,train
1056,train
1057,train
1058,train
1059,train
1060,test
1061,train
1062,train
1063,train
1064,train
1065,test
1066,train
1067,train
1068,test
1069,train
1070,test
1071,train
1072,train
1073,train
1074,train
1075,test
1076,train
1077,train
1078,train
1079,validation
1080,train
1081,train
1082,train
1083,test
1084,test
1085,test
1086,test
1087,validation
1088,train
1089,test
1090,test
1091,train
1092,test
1093,test
1094,validation
1095,train
1096,train
1097,test
1098,train
1099,train
1100,train
1101,validation
1102,train
1103,train
1104,train
1105,test
1106,train
1107,train
1108,train
1109,test
1110,test
1111,train
1112,train
1113,validation
1114,train
1115,validation
1116,train
1117,train
1118,train
1119,train
1120,train
1121,train
1122,train
1123,train
1124,train
1125,train
1126,train
1127,train
1128,test
1129,train
1130,train
1131,validation
1132,train
1133,train
1134,train
1135,validation
1136,train
1137,train
1138,train
1139,validation
1140,train
1141,train
1142,train
1143,train
1144,train
1145,train
1146,train
1147,train
1148,validation
1149,train
1150,validation
1151,test
1152,train
1153,test
1154,train
1155,train
1156,train
1157,train
1158,validation
1159,train
1160,train
1161,train
1162,train
1163,validation
1164,train
1165,validation
1166,train
1167,train
1168,train
1169,validation
1170,test
1171,train
1172,train
1173,train
1174,validation
1175,train
1176,train
1177,train
1178,train
1179,train
1180,train
1181,validation
1182,test
1183,train
1184,test
1185,validation
1186,train
1187,train
1188,test
1189,validation
1190,train
1191,train
1192,train
1193,train
1194,train
1195,validation
1196,train
1197,train
1198,train
1199,test
1200,validation
1201,test
1202,validation
1203,train
1204,train
1205,train
1206,train
1207,train
1208,train
1209,validation
1210,train
1211,test
1212,train
1213,train
1214,train
1215,validation
1216,train
1217,train
1218,test
1219,train
1220,train
1221,train
1222,train
1223,train
1224,train
1225,test
1226,validation
1227,train
1228,validation
1229,train
1230,train
1231,train
1232,test
1233,train
1234,validation
1235,train
1236,test
1237,validation
1238,train
1239,test
1240,train
1241,train
1242,test
1243,train
1244,validation
1245,validation
1246,train
1247,train
1248,test
1249,train
1250,train
1251,validation
1252,test
1253,train
1254,train
1255,train
1256,validation
1257,validation
1258,train
1259,train
1260,train
1261,train
1262,train
1263,test
1264,train
1265,train
1266,train
1267,train
1268,validation
1269,train
1270,train
1271,validation
1272,train
1273,test
1274,test
1275,validation
1276,validation
1277,validation
1278,validation
1279,train
1280,train
1281,train
1282,test
1283,train
1284,train
1285,train
1286,train
1287,test
1288,train
1289,train
1290,train
1291,test
1292,train
1293,train
1294,validation
1295,validation
1296,validation
1297,train
1298,validation
1299,train
1300,test
1301,test
1302,test
1303,train
1304,test
1305,train
1306,train
1307,validation
1308,test
1309,test
1310,train
1311,test
1312,validation
1313,train
1314,test
1315,test
1316,train
1317,train
1318,train
1319,train
1320,train
1321,test
1322,train
1323,train
1324,train
1325,train
1326,test
1327,test
1328,train
1329,train
1330,validation
1331,train
1332,test
1333,train
1334,train
1335,train
1336,train
1337,train
1338,test
1339,test
1340,train
1341,train
1342,test
1343,train
1344,test
1345,test
1346,test
1347,train
1348,train
1349,train
1350,test
1351,train
1352,train
1353,train
1354,test
1355,train
1356,validation
1357,train
1358,train
1359,train
1360,train
1361,train
1362,test
1363,train
1364,train
1365,test
1366,validation
1367,validation
1368,train
1369,test
1370,train
1371,test
1372,validation
1373,train
1374,train
1375,train
1376,train
1377,validation
1378,train
1379,test
1380,test
1381,validation
1382,validation
1383,train
1384,train
1385,test
1386,train
1387,train
1388,train
1389,train
1390,train
1391,test
1392,test
1393,validation
1394,train
1395,train
1396,validation
1397,train
1398,train
1399,train
1400,train
1401,train
1402,train
1403,test
1404,test
1405,validation
1406,test
1407,validation
1408,train
1409,train
1410,train
1411,train
1412,train
1413,train
1414,validation
1415,train
1416,train
1417,train
1418,train
1419,test
1420,validation
1421,validation
1422,train
1423,train
1424,train
1425,validation
1426,test
1427,test
1428,test
1429,test
1430,test
1431,train
1432,train
1433,train
1434,test
1435,train
1436,train
1437,validation
1438,train
1439,train
1440,validation
1441,train
1442,train
1443,train
1444,train
1445,train
1446,train
1447,validation
1448,train
1449,test
1450,test
1451,validation
1452,train
1453,train
1454,train
1455,train
1456,validation
1457,train
1458,train
1459,train
1460,train
1461,validation
1462,validation
1463,train
1464,validation
1465,train
1466,validation
1467,validation
1468,train
1469,validation
1470,train
1471,train
1472,train
1473,validation
1474,train
1475,train
1476,test
1477,train
1478,validation
1479,train
1480,train
1481,test
1482,test
1483,train
1484,train
1485,train
1486,train
1487,train
1488,validation
1489,train
1490,train
1491,train
1492,train
1493,train
1494,train
1495,train
1496,train
1497,validation
1498,train
1499,train
1500,train
1501,validation
1502,train
1503,test
1504,train
1505,train
1506,train
1507,validation
1508,train
1509,test
1510,validation
1511,train
1512,train
1513,validation
1514,train
1515,train
1516,train
1517,train
1518,train
1519,test
1520,train
1521,train
1522,train
1523,train
1524,train
1525,test
1526,validation
1527,train
1528,test
1529,train
1530,train
1531,train
1532,train
1533,validation
1534,train
1535,train
1536,train
1537,train
1538,train
1539,test
1540,train
1541,train
1542,validation
1543,train
1544,test
1545,train
1546,validation
1547,validation
1548,train
1549,train
1550,validation
1551,validation
1552,train
1553,train
1554,validation
1555,train
1556,train
1557,validation
1558,validation
1559,train
1560,train
1561,train
1562,test
1563,train
1564,validation
1565,test
1566,train
1567,train
1568,test
1569,test
1570,train
1571,train
1572,test
1573,train
1574,train
1575,test
1576,train
1577,train
1578,train
1579,validation
1580,train
1581,validation
1582,validation
1583,validation
1584,train
1585,test
1586,train
1587,test
1588,train
1589,train
1590,validation
1591,validation
1592,train
1593,train
1594,validation
1595,train
1596,validation
1597,validation
1598,train
1599,validation
1600,train
1601,test
1602,train
1603,train
1604,train
1605,train
1606,test
1607,train
1608,train
1609,train
1610,validation
1611,train
1612,validation
1613,validation
1614,train
1615,train
1616,validation
1617,test
1618,train
1619,train
1620,train
1621,train
1622,train
1623,train
1624,train
1625,test
1626,train
1627,test
1628,validation
1629,train
1630,train
1631,test
1632,train
1633,train
1634,train
1635,train
1636,train
1637,test
1638,train
1639,train
1640,train
1641,validation
1642,train
1643,train
1644,train
1645,validation
1646,train
1647,train
1648,train
1649,train
1650,test
1651,test
1652,train
1653,test
1654,train
1655,train
1656,train
1657,train
1658,train
1659,train
1660,train
1661,validation
1662,train
1663,train
1664,train
1665,test
1666,train
1667,train
1668,test
1669,train
1670,test
1671,test
1672,train
1673,validation
1674,validation
1675,train
1676,train
1677,train
1678,train
1679,test
1680,train
1681,train
1682,test
1683,train
1684,test
1685,train
1686,test
1687,test
1688,validation
1689,train
1690,train
1691,train
1692,test
1693,test
1694,validation
1695,test
1696,train
1697,train
1698,train
1699,train
1700,train
1701,train
1702,test
1703,validation
1704,train
1705,train
1706,train
1707,train
1708,train
1709,train
1710,test
1711,test
1712,train
1713,train
1714,test
1715,train
1716,train
1717,validation
1718,train
1719,train
1720,train
1721,validation
1722,train
1723,train
1724,train
1725,test
1726,test
1727,train
1728,test
1729,test
1730,validation
1731,train
1732,test
1733,test
1734,test
1735,train
1736,train
1737,train
1738,validation
1739,test
1740,test
1741,train
1742,validation
1743,validation
1744,train
1745,train
1746,validation
1747,train
1748,validation
1749,train
1750,validation
1751,test
1752,train
1753,train
1754,test
1755,test
1756,test
1757,validation
1758,train
1759,test
1760,train
1761,validation
1762,train
1763,train
1764,train
1765,train
1766,validation
1767,train
1768,train
1769,train
1770,validation
1771,train
1772,train
1773,validation
1774,validation
1775,train
1776,validation
1777,train
1778,train
1779,train
1780,train
1781,test
1782,test
1783,validation
1784,validation
1785,validation
1786,validation
1787,train
1788,validation
1789,train
1790,train
1791,train
1792,test
1793,train
1794,train
1795,train
1796,train
1797,train
1798,validation
1799,train
1800,test
1801,train
1802,train
1803,train
1804,train
1805,train
1806,train
1807,test
1808,train
1809,validation
1810,test
1811,train
1812,test
1813,test
1814,test
1815,train
1816,train
1817,train
1818,validation
1819,train
1820,train
1821,train
1822,test
1823,validation
1824,train
1825,train
1826,train
1827,train
1828,train
1829,train
1830,train
1831,train
1832,validation
1833,train
1834,test
1835,train
1836,train
1837,train
1838,train
1839,train
1840,train
1841,train
1842,validation
1843,train
1844,test
1845,train
1846,train
1847,train
1848,test
1849,test
1850,test
1851,test
1852,train
1853,train
1854,test
1855,train
1856,train
1857,train
1858,train
1859,train
1860,train
1861,train
1862,test
1863,train
1864,validation
1865,train
1866,train
1867,validation
1868,test
1869,train
1870,train
1871,train
1872,train
1873,train
1874,train
1875,test
1876,train
1877,train
1878,train
1879,train
1880,test
1881,train
1882,train
1883,validation
1884,train
1885,validation
1886,train
1887,train
1888,train
1889,train
1890,test
1891,validation
1892,validation
1893,test
1894,validation
1895,test
1896,train
1897,test
1898,train
1899,train
1900,train
1901,train
1902,validation
1903,train
1904,test
1905,test
1906,test
1907,train
1908,train
1909,train
1910,train
1911,train
1912,train
1913,train
1914,train
1915,test
1916,train
1917,test
1918,train
1919,train
1920,test
1921,train
1922,train
1923,train
1924,train
1925,validation
1926,train
1927,test
1928,validation
1929,validation
1930,train
1931,train
1932,train
1933,train
1934,train
1935,train
1936,train
1937,train
1938,train
1939,test
1940,train
1941,train
1942,train
1943,validation
1944,train
1945,train
1946,train
1947,test
1948,train
1949,train
1950,train
1951,test
1952,train
1953,train
1954,train
1955,train
1956,validation
1957,validation
1958,test
1959,validation
1960,test
1961,train
1962,train
1963,validation
1964,train
1965,test
1966,train
1967,validation
1968,train
1969,test
1970,train
1971,train
1972,train
1973,train
1974,train
1975,train
1976,train
1977,test
1978,train
1979,test
1980,train
1981,train
1982,test
1983,test
1984,validation
1985,test
1986,validation
1987,train
1988,train
1989,train
1990,train
1991,test
1992,train
1993,train
1994,train
1995,train
1996,train
1997,test
1998,train
1999,validation
2000,test
2001,train
2002,test
2003,train
2004,train
2005,validation
2006,train
2007,validation
2008,validation
2009,validation
2010,validation
2011,train
2012,test
2013,train
2014,train
2015,train
2016,train
2017,train
2018,train
2019,train
2020,train
2021,train
2022,train
2023,test
2024,test
2025,train
2026,validation
2027,validation
2028,train
2029,validation
2030,test
2031,test
2032,train
2033,validation
2034,test
2035,train
2036,train
2037,validation
2038,train
2039,train
2040,test
2041,train
2042,train
2043,test
2044,test
2045,validation
2046,validation
2047,test
2048,test
2049,train
2050,train
2051,test
2052,test
2053,train
2054,test
2055,train
2056,validation
2057,train
2058,train
2059,train
2060,validation
2061,train
2062,train
2063,train
2064,train
2065,train
2066,train
2067,train
2068,train
2069,validation
2070,train
2071,validation
2072,validation
2073,train
2074,train
2075,train
2076,train
2077,train
2078,train
2079,train
2080,train
2081,test
2082,test
2083,validation
2084,train
2085,validation
2086,train
2087,test
2088,test
2089,train
2090,train
2091,train
2092,train
2093,train
2094,train
2095,test
2096,validation
2097,train
2098,test
2099,train
2100,train
2101,test
2102,test
2103,test
2104,test
2105,test
2106,test
2107,validation
2108,train
2109,train
2110,train
2111,test
2112,train
2113,validation
2114,train
2115,test
2116,validation
2117,test
2118,train
2119,test
2120,test
2121,train
2122,train
2123,validation
2124,train
2125,train
2126,train
2127,test
2128,validation
2129,train
2130,test
2131,train
2132,train
2133,train
2134,train
2135,test
2136,train
2137,train
2138,test
2139,train
2140,train
2141,train
2142,train
2143,train
2144,validation
2145,validation
2146,train
2147,validation
2148,train
2149,validation
2150,train
2151,validation
2152,train
2153,train
2154,validation
2155,train
2156,validation
2157,train
2158,train
2159,train
2160,train
2161,test
2162,test
2163,train
2164,train
2165,train
2166,train
2167,train
2168,train
2169,train
2170,test
2171,train
2172,train
2173,test
2174,train
2175,validation
2176,train
2177,test
2178,train
2179,train
2180,train
2181,train
2182,test
2183,train
2184,train
2185,validation
2186,train
2187,train
2188,train
2189,train
2190,train
2191,test
2192,validation
2193,test
2194,test
2195,train
2196,test
2197,train
2198,test
2199,validation
2200,test
2201,train
2202,train
2203,train
2204,test
2205,train
2206,train
2207,train
2208,train
2209,train
2210,train
2211,train
2212,train
2213,test
2214,train
2215,train
2216,train
2217,train
2218,train
2219,test
2220,train
2221,train
2222,validation
2223,train
2224,train
2225,train
2226,test
2227,train
2228,train
2229,validation
2230,train
2231,validation
2232,train
2233,train
2234,train
2235,train
2236,train
2237,train
2238,test
2239,train
2240,train
2241,train
2242,train
2243,validation
2244,train
2245,train
2246,validation
2247,train
2248,train
2249,test
2250,train
2251,test
2252,test
2253,train
2254,train
2255,train
2256,train
2257,test
2258,validation
2259,test
2260,train
2261,train
2262,test
2263,test
2264,test
2265,train
2266,train
2267,train
2268,train
2269,train
2270,train
2271,test
2272,validation
2273,train
2274,train
2275,validation
2276,train
2277,train
2278,test
2279,train
2280,train
2281,train
2282,train
2283,train
2284,train
2285,train
2286,train
2287,train
2288,train
2289,train
2290,train
2291,train
2292,train
2293,train
2294,train
2295,train
2296,train
2297,train
2298,train
2299,train
2300,train
2301,train
2302,train
2303,test
2304,train
2305,train
2306,validation
2307,train
2308,train
2309,validation
2310,validation
2311,train
2312,train
2313,train
2314,validation
2315,test
2316,train
2317,train
2318,train
2319,train
2320,train
2321,validation
2322,train
2323,train
2324,train
2325,test
2326,validation
2327,train
2328,train
2329,train
2330,train
2331,train
2332,validation
2333,validation
2334,train
2335,train
2336,train
2337,train
2338,train
2339,train
2340,test
2341,train
2342,train
2343,train
2344,train
2345,train
2346,train
2347,train
2348,train
2349,train
2350,train
2351,test
2352,train
2353,train
2354,validation
2355,train
2356,train
2357,train
2358,train
2359,train
2360,train
2361,train
2362,train
2363,train
2364,validation
2365,train
2366,train
2367,train
2368,train
2369,train
2370,train
2371,train
2372,validation
2373,train
2374,train
2375,train
2376,train
2377,validation
2378,train
2379,validation
2380,train
2381,validation
2382,validation
2383,train
2384,test
2385,train
2386,train
2387,train
2388,train
2389,test
2390,train
2391,validation
2392,train
2393,train
2394,train
2395,train
2396,train
2397,test
2398,test
2399,train
2400,train
2401,train
2402,test
2403,train
2404,validation
2405,test
2406,train
2407,train
2408,train
2409,train
2410,train
2411,train
2412,train
2413,train
2414,test
2415,test
2416,validation
2417,validation
2418,test
2419,train
2420,train
2421,test
2422,test
2423,train
2424,validation
2425,train
2426,train
2427,train
2428,test
2429,train
2430,train
2431,test
2432,train
2433,validation
2434,test
2435,train
2436,validation
2437,train
2438,train
2439,validation
2440,train
2441,validation
2442,train
2443,validation
2444,test
2445,test
2446,test
2447,test
2448,train
2449,test
2450,train
2451,train
2452,validation
2453,train
2454,test
2455,train
2456,train
2457,test
2458,train
2459,validation
2460,test
2461,train
2462,train
2463,train
2464,train
2465,train
2466,train
2467,test
2468,train
2469,train
2470,train
2471,train
2472,test
2473,train
2474,train
2475,test
2476,train
2477,train
2478,train
2479,train
2480,train
2481,train
2482,train
2483,test
2484,train
2485,test
2486,train
2487,validation
2488,train
2489,train
2490,train
2491,test
2492,test
2493,train
2494,test
2495,validation
2496,validation
2497,train
2498,test
2499,train
2500,validation
2501,train
2502,train
2503,train
2504,train
2505,validation
2506,train
2507,validation
2508,train
2509,test
2510,train
2511,train
2512,train
2513,train
2514,train
2515,train
2516,train
2517,train
2518,train
2519,train
2520,test
2521,train
2522,train
2523,train
2524,train
2525,train
2526,train
2527,train
2528,train
2529,train
2530,train
2531,train
2532,test
2533,train
2534,validation
2535,test
2536,train
2537,train
2538,test
2539,validation
2540,test
2541,train
2542,train
2543,train
2544,train
2545,test
2546,train
2547,train
2548,test
2549,train
2550,validation
2551,train
2552,train
2553,train
2554,train
2555,test
2556,train
2557,test
2558,train
2559,train
2560,train
2561,train
2562,train
2563,train
2564,train
2565,train
2566,train
2567,test
2568,test
2569,train
2570,test
2571,train
2572,train
2573,validation
2574,train
2575,train
2576,train
2577,test
2578,train
2579,validation
2580,train
2581,train
2582,train
2583,train
2584,train
2585,validation
2586,train
2587,train
2588,validation
2589,train
2590,train
2591,train
2592,train
2593,train
2594,validation
2595,train
2596,train
2597,train
2598,train
2599,train
2600,test
2601,train
2602,train
2603,train
2604,train
2605,train
2606,test
2607,test
2608,train
2609,test
2610,train
2611,validation
2612,validation
2613,test
2614,train
2615,train
2616,train
2617,train
2618,train
2619,test
2620,train
2621,train
2622,train
2623,train
2624,train
2625,test
2626,test
2627,train
2628,test
2629,train
2630,train
2631,train
2632,train
2633,train
2634,validation
2635,train
2636,test
2637,validation
2638,train
2639,validation
2640,validation
2641,test
2642,train
2643,train
2644,train
2645,train
2646,train
2647,train
2648,validation
2649,validation
2650,train
2651,train
2652,train
2653,train
2654,train
2655,validation
2656,validation
2657,train
2658,test
2659,train
2660,train
2661,test
2662,train
2663,train
2664,train
2665,train
2666,train
2667,test
2668,validation
2669,train
2670,validation
2671,train
2672,test
2673,test
2674,train
2675,validation
2676,train
2677,validation
2678,train
2679,train
2680,validation
2681,test
2682,train
2683,train
2684,train
2685,train
2686,train
2687,train
2688,train
2689,train
2690,train
2691,train
2692,validation
2693,train
2694,test
2695,train
2696,train
2697,train
2698,train
2699,train
2700,train
2701,test
2702,train
2703,train
2704,test
2705,test
2706,train
2707,validation
2708,test
2709,train
2710,train
2711,train
2712,train
2713,validation
2714,test
2715,train
2716,train
2717,train
2718,train
2719,train
2720,validation
2721,train
2722,train
2723,train
2724,train
2725,train
2726,validation
2727,validation
2728,train
2729,train
2730,train
2731,train
2732,train
2733,validation
2734,train
2735,train
2736,test
2737,train
2738,train
2739,train
2740,validation
2741,validation
2742,train
2743,test
2744,train
2745,validation
2746,train
2747,train
2748,test
2749,train
2750,train
2751,test
2752,train
2753,train
2754,train
2755,validation
2756,train
2757,train
2758,train
2759,train
2760,train
2761,train
2762,validation
2763,train
2764,test
2765,train
2766,test
2767,validation
2768,validation
2769,train
2770,train
2771,train
2772,train
2773,train
2774,test
2775,train
2776,train
2777,train
2778,train
2779,test
2780,train
2781,train
2782,test
2783,test
2784,test
2785,train
2786,train
2787,train
2788,test
2789,train
2790,test
2791,test
2792,validation
2793,train
2794,train
2795,train
2796,validation
2797,train
2798,train
2799,train
2800,train
2801,validation
2802,test
2803,train
2804,test
2805,test
2806,train
2807,test
2808,train
2809,test
2810,test
2811,test
2812,train
2813,train
2814,train
2815,test
2816,test
2817,train
2818,test
2819,train
2820,train
2821,train
2822,train
2823,test
2824,validation
2825,validation
2826,train
2827,validation
2828,train
2829,train
2830,train
2831,validation
2832,train
2833,train
2834,validation
2835,train
2836,train
2837,train
2838,validation
2839,test
2840,train
2841,train
2842,train
2843,test
2844,train
2845,train
2846,train
2847,validation
2848,train
2849,train
2850,test
2851,train
2852,train
2853,test
2854,train
2855,train
2856,train
2857,test
2858,train
2859,train
2860,train
2861,train
2862,test
2863,train
2864,train
2865,test
2866,test
2867,train
2868,validation
2869,train
2870,test
2871,validation
2872,train
2873,train
2874,train
2875,train
2876,train
2877,train
2878,train
2879,test
2880,train
2881,train
2882,test
2883,train
2884,train
2885,test
2886,train
2887,train
2888,test
2889,train
2890,train
2891,validation
2892,train
2893,validation
2894,validation
2895,validation
2896,train
2897,train
2898,test
2899,train
2900,train
2901,train
2902,train
2903,validation
2904,test
2905,train
